test_patient,cohort,mode,horizon,model,rmse,mae,zone_a,epochs
584,2020,pooled,15min,TCN,20.568283081054688,13.405043601989746,95.37681649205813,17.0
584,2020,pooled,15min,Transformer,18.970272064208984,11.396350860595703,95.00506928016222,45.0
584,2020,pooled,30min,RF,28.75428494219297,18.981203839902598,87.20513687056437,
584,2020,pooled,30min,LSTM,28.552490234375,19.048826217651367,87.77289624873268,32.0
584,2020,pooled,30min,Autoencoder,28.898826599121094,19.27237892150879,87.41466711726935,45.0
584,2020,pooled,30min,TCN,33.22434616088867,23.433956146240234,84.76512335248395,17.0
584,2020,pooled,30min,Transformer,29.13553237915039,19.363842010498047,86.77255829672187,45.0
584,2020,pooled,45min,RF,36.70370226744732,25.67895967514366,77.70192632646165,
584,2020,pooled,45min,LSTM,36.715171813964844,25.80246353149414,78.20209530246704,32.0
584,2020,pooled,45min,Autoencoder,36.85548782348633,25.909252166748047,78.37783034809057,45.0
584,2020,pooled,45min,TCN,42.482398986816406,31.081226348876953,70.68604258195336,17.0
584,2020,pooled,45min,Transformer,37.08175277709961,26.01674461364746,77.48563703954038,45.0
596,2020,pooled,15min,RF,12.060900527586744,7.3499764329946675,96.79411764705883,
596,2020,pooled,15min,LSTM,12.874913215637207,8.900371551513672,93.94852941176471,22.0
596,2020,pooled,15min,Autoencoder,12.416605949401855,7.894250869750977,96.06617647058823,79.0
596,2020,pooled,15min,TCN,15.988476753234863,11.798677444458008,84.26470588235294,15.0
596,2020,pooled,15min,Transformer,12.592705726623535,7.907927513122559,95.55147058823529,17.0
596,2020,pooled,30min,RF,19.3975006025579,13.009381433478453,88.38970588235294,
596,2020,pooled,30min,LSTM,20.5166072845459,15.005386352539062,81.78676470588235,22.0
596,2020,pooled,30min,Autoencoder,20.259737014770508,14.463156700134277,84.22058823529412,79.0
596,2020,pooled,30min,TCN,27.250518798828125,21.479084014892578,67.09558823529412,15.0
596,2020,pooled,30min,Transformer,19.91124725341797,13.860085487365723,85.7279411764706,17.0
596,2020,pooled,45min,RF,25.060239105312263,17.670636991767722,79.46323529411765,
596,2020,pooled,45min,LSTM,26.86756706237793,20.4140625,70.76470588235294,22.0
596,2020,pooled,45min,Autoencoder,26.44157600402832,19.830968856811523,72.375,79.0
